order_id,customer_id,order_date,status,region_code
O000001,C0001,2024-03-03 08:09:29,PLACED,SOUTH
O000002,C0002,2023-02-20 08:39:59,DELIVERED,SOUTH
O000003,C0002,2026-01-22 06:58:56,SHIPPED,SOUTH
O000004,C0003,2026-03-14 06:10:00,DELIVERED,WEST
O000005,C0003,2026-06-10 23:39:04,DELIVERED,WEST
O000006,C0004,2023-01-11 23:20:34,DELIVERED,SOUTH
O000007,C0004,2025-07-07 05:46:47,DELIVERED,SOUTH
O000008,C0004,2026-01-22 12:53:09,DELIVERED,SOUTH
O000009,C0005,2023-08-31 00:46:23,DELIVERED,EAST
O000010,C0005,2025-06-26 22:18:35,RETURNED,EAST
O000011,C0005,2026-02-27 05:55:27,DELIVERED,EAST
O000012,C0005,2026-04-05 02:20:56,DELIVERED,EAST
O000013,C0006,2023-06-01 02:38:34,DELIVERED,NORTH
O000014,C0006,2023-11-28 07:33:10,DELIVERED,CENTRAL
O000015,C0006,2024-12-23 11:42:25,RETURNED,EAST
O000016,C0006,2026-01-07 10:24:47,DELIVERED,EAST
O000017,,2026-04-23 00:00:00,SHIPPED,EAST
O000018,C0006,2026-05-07 03:48:45,PLACED,EAST
O000019,C0007,2025-09-01 12:26:17,SHIPPED,EAST
O000020,C0008,2025-06-16 20:04:24,DELIVERED,NORTH
O000021,C0008,2025-12-01 08:49:47,DELIVERED,NORTH
O000022,C0008,2026-01-02 09:19:43,DELIVERED,NORTH
O000023,C0008,2026-04-05 22:30:37,DELIVERED,NORTH
O000024,C0008,2026-06-09 07:22:36,DELIVERED,NORTH
O000025,C0009,2023-05-05 01:37:18,DELIVERED,NORTH
O000026,C0009,2023-10-17 01:32:29,PLACED,NORTH
O000027,C0010,2025-09-14 17:12:51,PLACED,SOUTH
O000028,C0010,2026-01-21 07:31:12,DELIVERED,SOUTH
O000029,C0010,2026-03-05 07:12:51,DELIVERED,SOUTH
O000030,C0010,2026-04-24 12:28:03,DELIVERED,SOUTH
O000031,C0010,2026-05-05 06:49:38,DELIVERED,SOUTH
O000032,C0011,2026-05-27 21:52:50,RETURNED,NORTH
O000033,C0012,2026-04-22 21:14:19,SHIPPED,CENTRAL
O000034,C0013,2023-12-22 21:38:01,DELIVERED,EAST
O000035,C0013,2024-03-21 11:09:33,DELIVERED,EAST
O000036,C0014,2024-05-21 22:10:52,DELIVERED,CENTRAL
O000037,C0014,2024-05-28 22:30:36,DELIVERED,CENTRAL
O000038,C0014,2025-11-03 13:53:51,PLACED,CENTRAL
O000039,C0014,2025-11-19 13:32:40,DELIVERED,EAST
O000040,C0014,2026-04-02 17:58:04,DELIVERED,CENTRAL
O000041,C0015,2024-09-07 08:33:05,SHIPPED,WEST
O000042,C0015,2025-03-16 05:18:12,DELIVERED,WEST
O000043,C0015,2025-03-29 15:31:52,DELIVERED,WEST
O000044,C0015,2025-06-30 08:36:26,DELIVERED,WEST
O000045,C0015,2025-10-02 12:49:18,DELIVERED,WEST
O000046,C0015,2026-04-10 15:01:26,CANCELLED,WEST
O000047,C0016,2024-01-19 05:16:05,DELIVERED,CENTRAL
O000048,C0016,2025-06-27 08:54:11,CANCELLED,CENTRAL
O000049,C0016,2025-09-18 01:14:58,SHIPPED,CENTRAL
O000050,C0017,2024-07-16 20:38:04,CANCELLED,SOUTH
O000051,C0017,2026-05-21 16:43:51,PLACED,SOUTH
O000052,,2026-06-09 00:28:54,DELIVERED,SOUTH
O000053,C0018,2023-06-20 16:32:34,DELIVERED,CENTRAL
O000054,C0018,2026-02-07 02:06:55,PLACED,SOUTH
O000055,C0018,2026-02-18 18:37:03,SHIPPED,NORTH
O000056,C0018,2026-03-21 07:06:42,SHIPPED,NORTH
O000057,C0018,2026-04-22 13:37:28,DELIVERED,SOUTH
O000058,C0018,2026-06-29 04:14:51,DELIVERED,SOUTH
O000059,C0019,2024-08-15 22:08:31,RETURNED,WEST
O000060,C0019,2024-09-28 09:01:02,SHIPPED,WEST
O000061,C0019,2025-12-26 04:49:34,DELIVERED,CENTRAL
O000062,C0019,2026-06-06 02:43:49,SHIPPED,WEST
