product_id,product_name,category,subcategory,cost_price
P0001,Wireless Mouse,Electronics,Accessories,199.40
P0002,Wireless Mouse Pro,Electronics,Accessories,255.59
P0003,Wireless Mouse Plus,Electronics,Accessories,43.12
P0004,Wireless Mouse Max,Electronics,Accessories,85.91
P0005,Wireless Mouse Mini,Electronics,Accessories,105.22
P0006,Wireless Mouse Prime,Electronics,Accessories,54.65
P0007,Wireless Mouse Edge,Electronics,Accessories,137.58
P0008,Wireless Mouse Flex,Electronics,Accessories,152.93
P0009,Wireless Mouse Lite,Electronics,Accessories,189.53
P0010,Wireless Mouse Ultra,Electronics,Accessories,165.04
P0011,Mechanical Keyboard,Electronics,Accessories,217.70
P0012,Mechanical Keyboard Pro,Electronics,Accessories,265.03
P0013,Mechanical Keyboard Plus,Electronics,Accessories,215.63
P0014,Mechanical Keyboard Max,Electronics,Accessories,179.07
P0015,Mechanical Keyboard Mini,Electronics,Accessories,175.21
P0016,Mechanical Keyboard Prime,Electronics,Accessories,52.06
P0017,Mechanical Keyboard Edge,Electronics,Accessories,45.85
P0018,Mechanical Keyboard Flex,Electronics,Accessories,91.87
P0019,Mechanical Keyboard Lite,Electronics,Accessories,81.24
P0020,Mechanical Keyboard Ultra,Electronics,Accessories,49.93
P0021,Bluetooth Speaker,Electronics,Audio,192.66
P0022,Bluetooth Speaker Pro,Electronics,Audio,251.93
P0023,Bluetooth Speaker Plus,Electronics,Audio,119.09
P0024,Bluetooth Speaker Max,Electronics,Audio,172.03
P0025,Bluetooth Speaker Mini,Electronics,Audio,222.09
P0026,Bluetooth Speaker Prime,Electronics,Audio,128.13
P0027,Bluetooth Speaker Edge,Electronics,Audio,189.85
P0028,Bluetooth Speaker Flex,Electronics,Audio,87.76
P0029,Bluetooth Speaker Lite,Electronics,Audio,59.85
P0030,Bluetooth Speaker Ultra,Electronics,Audio,170.11
P0031,Noise Cancelling Headphones,Electronics,Audio,51.89
P0032,Noise Cancelling Headphones Pro,Electronics,Audio,256.11
P0033,Noise Cancelling Headphones Plus,Electronics,Audio,264.44
P0034,Noise Cancelling Headphones Max,Electronics,Audio,231.68
P0035,Noise Cancelling Headphones Mini,Electronics,Audio,116.05
P0036,Noise Cancelling Headphones Prime,Electronics,Audio,137.28
P0037,Noise Cancelling Headphones Edge,Electronics,Audio,235.32
P0038,Noise Cancelling Headphones Flex,Electronics,Audio,180.62
P0039,Noise Cancelling Headphones Lite,Electronics,Audio,236.27
P0040,Noise Cancelling Headphones Ultra,Electronics,Audio,114.76
P0041,Usb-C Hub,Electronics,Computing,112.11
P0042,Usb-C Hub Pro,Electronics,Computing,241.52
P0043,Usb-C Hub Plus,Electronics,Computing,152.50
P0044,Usb-C Hub Max,Electronics,Computing,198.44
P0045,Usb-C Hub Mini,Electronics,Computing,224.98
P0046,Usb-C Hub Prime,Electronics,Computing,159.55
P0047,Usb-C Hub Edge,Electronics,Computing,172.55
P0048,Usb-C Hub Flex,Electronics,Computing,172.56
P0049,Usb-C Hub Lite,Electronics,Computing,232.99
P0050,Usb-C Hub Ultra,Electronics,Computing,249.79
P0051,Laptop Stand,Electronics,Computing,234.71
P0052,Laptop Stand Pro,Electronics,Computing,67.00
P0053,Laptop Stand Plus,Electronics,Computing,172.70
P0054,Laptop Stand Max,Electronics,Computing,85.40
P0055,Laptop Stand Mini,Electronics,Computing,231.46
P0056,Laptop Stand Prime,Electronics,Computing,206.83
P0057,Laptop Stand Edge,Electronics,Computing,198.50
P0058,Laptop Stand Flex,Electronics,Computing,184.33
P0059,Laptop Stand Lite,Electronics,Computing,68.45
P0060,Laptop Stand Ultra,Electronics,Computing,252.58
P0061,Portable Charger,Electronics,Accessories,148.75
P0062,Portable Charger Pro,Electronics,Accessories,154.03
P0063,Portable Charger Plus,Electronics,Accessories,118.09
P0064,Portable Charger Max,Electronics,Accessories,149.06
P0065,Portable Charger Mini,Electronics,Accessories,120.19
P0066,Portable Charger Prime,Electronics,Accessories,66.07
P0067,Portable Charger Edge,Electronics,Accessories,54.80
P0068,Portable Charger Flex,Electronics,Accessories,106.11
P0069,Portable Charger Lite,Electronics,Accessories,202.68
P0070,Portable Charger Ultra,Electronics,Accessories,179.89
P0071,Smart Watch,Electronics,Wearables,251.71
P0072,Smart Watch Pro,Electronics,Wearables,251.08
P0073,Smart Watch Plus,Electronics,Wearables,148.81
P0074,Smart Watch Max,Electronics,Wearables,218.73
P0075,Smart Watch Mini,Electronics,Wearables,109.69
P0076,Smart Watch Prime,Electronics,Wearables,189.04
P0077,Smart Watch Edge,Electronics,Wearables,136.82
P0078,Smart Watch Flex,Electronics,Wearables,114.91
P0079,Smart Watch Lite,Electronics,Wearables,214.98
P0080,Smart Watch Ultra,Electronics,Wearables,125.36
P0081,Webcam,Electronics,Computing,145.79
P0082,Webcam Pro,Electronics,Computing,214.65
P0083,Webcam Plus,Electronics,Computing,85.62
P0084,Webcam Max,Electronics,Computing,83.51
P0085,Webcam Mini,Electronics,Computing,77.88
P0086,Webcam Prime,Electronics,Computing,210.34
