item_id,order_id,product_id,quantity,unit_price,discount_percent
I0000001,O000001,P0001,4,284.42,29.18
I0000002,O000001,P0002,4,598.98,27.90
I0000003,O000001,P0006,3,75.27,16.12
I0000004,O000002,P0041,5,251.99,11.87
I0000005,O000002,P0042,5,543.39,19.98
I0000006,O000002,P0009,3,251.77,27.38
I0000007,O000003,P0151,1,119.33,1.31
I0000008,O000003,P0152,5,120.95,0.87
I0000009,O000004,P0170,3,87.31,31.12
I0000010,O000004,P0153,2,65.60,26.55
I0000011,O000005,P0451,2,74.50,12.26
I0000012,O000005,P0452,2,100.16,28.14
I0000013,O000006,P0015,5,276.27,28.61
I0000014,O000006,P0020,5,63.90,32.30
I0000015,O000006,P0012,4,357.10,28.45
I0000016,O000007,P0471,3,66.90,23.28
I0000017,O000007,P0472,3,94.72,1.06
I0000018,O000007,P0463,3,102.93,29.60
I0000019,O000007,P0456,1,90.92,4.46
I0000020,O000008,P0501,4,33.11,7.29
I0000021,O000008,P0502,5,98.53,15.24
I0000022,O000008,P0463,5,118.68,6.06
I0000023,O000009,P0321,-3,166.65,22.26
I0000024,O000009,P0322,5,420.46,15.85
I0000025,O000009,P0319,3,394.11,6.85
I0000026,O000010,P0501,1,32.99,31.54
I0000027,O000010,P0502,3,93.88,28.73
I0000028,O000010,P0455,4,81.88,8.23
I0000029,O000010,P0460,4,110.55,24.91
I0000030,O000011,P0041,4,133.94,22.69
I0000031,O000011,P0042,2,486.80,34.12
I0000032,O000011,P0005,5,209.98,14.55
I0000033,O000012,P0171,5,73.73,9.42
I0000034,O000012,P0172,3,106.86,34.24
I0000035,O000012,P0158,2,107.70,16.85
I0000036,O000013,P0301,4,182.38,16.42
I0000037,O000013,P0302,2,221.42,34.22
I0000038,O000013,P0316,5,125.83,32.30
I0000039,O000013,P0315,5,148.93,22.03
I0000040,O000014,P0021,2,437.24,0.50
I0000041,O000014,P0022,3,588.47,25.86
I0000042,O000014,P0009,4,418.10,9.14
I0000043,O000015,P0464,3,26.15,5.85
I0000044,O000015,P0463,1,71.90,9.25
I0000045,O000015,P0458,5,63.21,13.96
I0000046,O000015,P0465,3,55.54,23.92
I0000047,O000016,P0004,3,205.70,15.11
I0000048,O000016,P0018,5,147.49,9.35
I0000049,O000016,P0012,5,444.39,27.06
I0000050,O000017,P0451,3,105.91,12.30
I0000051,O000017,P0452,5,60.03,0.83
I0000052,O000018,P0181,1,151.75,8.87
I0000053,O000018,P0182,4,104.72,32.29
I0000054,O000018,P0154,3,38.77,23.37
I0000055,O000019,P0461,1,80.06,26.90
I0000056,O000019,P0462,1,136.81,25.04
I0000057,O000019,P0466,1,48.26,25.46
I0000058,O000019,P0454,1,43.87,5.21
I0000059,O000020,P0171,3,47.18,18.74
I0000060,O000020,P0172,1,132.82,14.02
I0000061,O000021,P0307,1,155.66,22.07
I0000062,O000021,P0310,1,287.50,15.33
